pl_name,pl_refname,pl_controv_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio
"Kepler-11 c","<a refstr=LISSAUER_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011Natur.470...53L/abstract target=ref> Lissauer et al. 2011 </a>",0,0.106000,0.004000,-0.004000,0,0.000,0.100,-0.100,0,"[Fe/H]"
"Kepler-11 f","<a refstr=LISSAUER_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011Natur.470...53L/abstract target=ref> Lissauer et al. 2011 </a>",0,0.250000,0.009000,-0.009000,0,0.000,0.100,-0.100,0,"[Fe/H]"
"BD-08 2823 b","<a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..46H/abstract target=ref> H&eacute;brard et al. 2010 </a>",0,0.056000,0.002000,-0.002000,0,-0.070,0.030,-0.030,0,"[Fe/H]"
"BD-08 2823 c","<a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..46H/abstract target=ref> H&eacute;brard et al. 2010 </a>",0,0.680000,0.020000,-0.020000,0,-0.070,0.030,-0.030,0,"[Fe/H]"
"HD 110014 b","<a refstr=DE_MEDEIROS_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A%26A...504..617D/abstract target=ref> de Medeiros et al. 2009 </a>",0,2.140000,0.030000,-0.030000,0,0.190,0.050,-0.050,0,"[Fe/H]"
"HIP 5158 b","<a refstr=LO_CURTO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..48L/abstract target=ref> Lo Curto et al. 2010 </a>",0,0.890000,,,0,0.100,0.070,-0.070,0,"[Fe/H]"
"HD 44219 b","<a refstr=NAEF_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...523A..15N/abstract target=ref> Naef et al. 2010 </a>",0,1.190000,0.020000,-0.020000,0,0.030,0.010,-0.010,0,"[Fe/H]"
"HD 6718 b","<a refstr=NAEF_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...523A..15N/abstract target=ref> Naef et al. 2010 </a>",0,3.560000,0.240000,-0.150000,0,-0.060,0.020,-0.020,0,"[Fe/H]"
"HD 156846 b","<a refstr=KANE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...733...28K/abstract target=ref> Kane et al. 2011 </a>",0,1.096000,0.021000,-0.021000,0,0.170,0.040,-0.040,0,"[Fe/H]"
"HD 137388 b","<a refstr=DUMUSQUE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...535A..55D/abstract target=ref> Dumusque et al. 2011 </a>",0,0.890000,0.020000,-0.020000,0,0.180,0.030,-0.030,0,"[Fe/H]"
