stellar class,radius,mass,luminosity,temperature,lifetime
M8,0.11,0.08,0.0004,2650,2000.0
M5,0.18,0.15,0.0027,3120,555.6
MO,0.51,0.6,0.072,3800,83.3
K5,0.74,0.69,0.16,4410,43.125
K0,0.85,0.78,0.4,5240,19.5
G5,0.93,0.93,0.79,5610,11.78
G2,1.0,1.0,1.0,5780,10.0
GO,1.05,1.1,1.26,5920,8.73
F5,1.2,1.3,2.5,6540,5.2
FO,1.3,1.7,6.0,7240,2.83
A5,1.7,2.1,20.0,8620,1.05
A0,2.5,3.2,80.0,10800,0.4
B5,3.8,6.5,800.0,16400,0.08125
BO,7.4,18.0,20000.0,30000,0.009
06,9.8,35.0,180000.0,38000,0.00194
02,12.0,100.0,800000.0,50000,0.00125
